Origin,Coffee,Bags,Unit,Farm / Name,Process,Cert.,Cup Profile,Avail.,€ / KG,$ / KG,Info,Unnamed: 12,offer_date
COLOMBIA,ARABICA SPOT,59,70,Los Bucaros Maragogype,washed,,"caramel, hazelnut, chocolate",Hamb,8.24,9.96,Factsheet,,2021-04-28
COSTA RICA,ARABICA SPOT,149,69,SHB EP Las Trojas Superior,washed,,"caramel, hazelnut, cocoa",Hamb,4.83,5.84,,,2021-04-28
COSTA RICA,ARABICA SPOT,25,69,SHB EP La Pastora Tarrazú,washed,,"caramel, honey, smooth",Hamb,5.01,6.06,Factsheet,,2021-04-28
EL SALVADOR,ARABICA SPOT,55,69,"SHG EP ""Finca Los Naranjos""",washed,,"molasses, almond, chocolate",Hamb,3.7,4.48,,,2021-04-28
EL SALVADOR,ARABICA SPOT,88,69,Altura EP El Borbollon,washed,,"hazelnut, caramel, dark choc",Hamb,3.73,4.52,Factsheet,,2021-04-28
EL SALVADOR,ARABICA SPOT,275,69,SHG EP Fairtrade,washed,FT,,Hamb,3.87,4.67,Factsheet,,2021-04-28
ETHIOPIA,ARABICA SPOT,179,60,Sidamo Grade 2 Organic,washed,ORG,"kumquat, kiwi, lemon",Hamb,5.56,6.72,,,2021-04-28
ETHIOPIA,ARABICA SPOT,118,60,Sidamo Grade 2 Fairtrade Organic,washed,FTO,"kumquat, kiwi, lemon",Hamb,6.05,7.32,,,2021-04-28
GUATEMALA,ROBUSTA SPOT,300,69,El Pacifico,washed,,very soft,Hamb,3.21,3.88,Factsheet,,2021-04-28
GUATEMALA,ARABICA SPOT,590,69,El Jaguar,washed,,"caramel, hazelnut",Hamb,4.54,5.49,Factsheet,,2021-04-28
GUATEMALA,ARABICA SPOT,7,69,Capuchinas Genuine Antigua,washed,,"floral, nuts, caramel",Hamb,5.18,6.26,,,2021-04-28
GUATEMALA,DECAFFEINATED,7,60,Guatemala SHB EP CO² Decaffeinated,CO² decaf,,"milk chocolate, hazelnut, almond",Hamb,6.12,7.4,,,2021-04-28
HONDURAS,ARABICA SPOT,169,69,SHG EP Genuine Marcala,washed,,"caramell, nuts, milk choc",Hamb,3.88,4.69,,,2021-04-28
HONDURAS,ARABICA SPOT,96,69,SHG EP Marcala Organic,washed,ORG,"caramell, floral, milk choc",Hamb,4.1,4.96,,,2021-04-28
HONDURAS,ARABICA SPOT,62,69,SHG EP Organic UTZ,washed,UTZ,"caramell, nuts, milk choc",Hamb,4.14,5.0,,,2021-04-28
HONDURAS,ARABICA SPOT,228,69,Finca Rio Colorado,washed,,"nuts, choc, brown sugar",Hamb,4.14,5.0,Factsheet,,2021-04-28
HONDURAS,ARABICA SPOT,125,69,SHG EP Marcala Fairtrade Organic,washed,FTO,"caramell, floral, milk choc",Hamb,4.38,5.29,,,2021-04-28
HONDURAS,ARABICA SPOT,2,69,SHG EP Marcala Fairtrade Organic natural,natural,FTO,"blueberry, whiney",Hamb,4.41,5.34,,,2021-04-28
HONDURAS,DECAFFEINATED,148,60,Honduras SHG EP CO² Decaffeinated Organic,CO² decaf,ORG,"chocolate, caramel",Hamb,5.9,6.94,,,2021-04-28
INDIA,ROBUSTA SPOT,126,60,Cherry AB,unwashed,,intense,Hamb,1.95,2.36,,,2021-04-28
INDIA,ROBUSTA SPOT,25,60,Parchment AB,washed,,soft,Hamb,2.24,2.71,,,2021-04-28
INDIA,ROBUSTA SPOT,121,60,Parchment AB Organic,washed,ORG,soft,Hamb,3.29,3.98,,,2021-04-28
INDIA,ARABICA SPOT,156,50,Monsooned Malabar Royal AA,unwashed,,,Hamb,4.21,5.09,,,2021-04-28
INDONESIA,ARABICA SPOT,26,30,Java Ruby Rimbun,washed,,"watermelon, stone fruit",Hamb,11.16,13.49,,,2021-04-28
INDONESIA,ROBUSTA SPOT,117,60,Java Robusta sweet & mild,unwashed,,medium,Hamb,2.36,2.86,Factsheet,,2021-04-28
INDONESIA,ARABICA SPOT,176,60,Sumatra Mandheling Permata Gayo Grade 1 DP,wet-hulled,,"cedar wood, almond",Hamb,4.05,4.89,,,2021-04-28
INDONESIA,ARABICA SPOT,9,60,Sumatra Mandheling Gayo Mountains Grade 1 TP Organic,wet-hulled,ORG,"cedar wood, almond",Hamb,4.76,5.75,Factsheet,,2021-04-28
INDONESIA,ARABICA SPOT,120,60,Java Blawan Estate A/WP1-X,washed,,,Hamb,5.05,6.11,,,2021-04-28
INDONESIA,ARABICA SPOT,146,60,Java Jampit Estate A/WP1-X,washed,,,Hamb,5.05,6.11,,,2021-04-28
INDONESIA,ARABICA SPOT,16,60,Java Mojang,washed,,"black tea, juicy, tropical",Hamb,5.51,6.66,,,2021-04-28
INDONESIA,ARABICA SPOT,34,60,Java Patuha Mountains,semi-washed,,"brazilian nut, almond",Hamb,6.05,7.32,,,2021-04-28
JAMAICA,ARABICA SPOT,11,15,Blue Mountain Grade 1 Wallendford Estate,washed,,,Hamb,58.75,71.03,,,2021-04-28
KENYA,ARABICA SPOT,122,69,AB Plus Meru,washed,,,Hamb,7.33,8.86,Factsheet,,2021-04-28
KENYA,ARABICA SPOT,13,69,Peaberry Plus Mukima,washed,,,Hamb,7.33,8.86,Factsheet,,2021-04-28
KENYA,ARABICA SPOT,93,69,AA Top Masai,washed,,,Hamb,7.99,9.66,Factsheet,,2021-04-28
KENYA,ARABICA SPOT,3,69,AA Plus Kiamaina,washed,,,Hamb,8.37,10.12,,,2021-04-28
MEXICO,ARABICA SPOT,46,69,Las Chicharras School Project,washed,,"yellow pepper, cashew, choc",Hamb,4.23,5.11,Factsheet,,2021-04-28
MEXICO,ARABICA SPOT,125,69,Finca el Flamingo Organic,washed,ORG,,Hamb,4.43,5.35,Factsheet,,2021-04-28
NICARAGUA,ARABICA SPOT,178,69,Finca San Ramón Screen 18,washed,,"almond, lemon, tea like",Hamb,4.23,5.11,,,2021-04-28
PANAMA,ARABICA SPOT,11,15,Finca Los Limones natural,natural,,"blueberry, raisin, nougat",Hamb,23.19,28.04,Factsheet,,2021-04-28
PANAMA,ARABICA SPOT,200,60,SHB EP Boquete Finca El Salto,washed,,"honey, almond, nougat",Hamb,6.11,7.39,Factsheet,,2021-04-28
RWANDA,ARABICA SPOT,59,60,Rugali Screen 15up,washed,,"almond, green tea",Hamb,4.25,5.14,Factsheet,,2021-04-28
